applicant_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_intent,loan_term_months,interest_rate,credit_score,dti_ratio,revolving_utilization,total_open_acc,delinq_2yrs,derogatory_recs,target_default
APP-10000,59,35801.23,12,RENT,11000,MEDICAL,36,10.03,758,35.76,40.08,12,0,0,0
APP-10001,49,38647.84,14,MORTGAGE,21000,DEBTCONSOLIDATION,36,11.16,675,57.0,36.0,12,3,0,0
APP-10002,35,81992.6,5,MORTGAGE,33000,DEBTCONSOLIDATION,36,11.15,701,19.81,36.15,10,0,0,1
APP-10003,63,50076.87,14,RENT,30000,VENTURE,36,16.51,663,14.87,58.08,11,0,0,0
APP-10004,28,139413.59,10,RENT,2000,DEBTCONSOLIDATION,36,9.46,810,13.46,25.18,11,0,1,0
APP-10005,41,124719.09,13,RENT,28000,HOMEIMPROVEMENT,36,7.03,802,11.2,9.71,4,0,0,0
APP-10006,59,138254.19,17,RENT,21000,PERSONAL,36,11.07,737,30.25,21.26,8,0,1,0
APP-10007,39,37863.52,2,RENT,15000,DEBTCONSOLIDATION,36,15.07,675,37.03,55.8,4,0,0,0
APP-10008,43,76530.57,12,RENT,16000,DEBTCONSOLIDATION,60,13.33,587,14.21,54.13,11,2,0,0
APP-10009,31,47157.01,0,RENT,7000,PERSONAL,36,14.31,693,34.3,36.27,11,0,0,0
APP-10010,31,70540.05,0,MORTGAGE,3000,DEBTCONSOLIDATION,36,11.31,724,23.75,14.43,16,0,0,0
APP-10011,44,40022.34,13,MORTGAGE,30000,PERSONAL,36,19.87,604,13.07,41.71,8,2,0,0
APP-10012,56,110533.97,0,RENT,40000,HOMEIMPROVEMENT,36,7.72,795,18.02,50.66,17,0,0,0
APP-10013,60,40397.95,11,RENT,33000,HOMEIMPROVEMENT,36,10.93,774,23.8,47.6,9,0,0,1
APP-10014,44,22615.27,3,MORTGAGE,6000,DEBTCONSOLIDATION,36,11.75,635,29.68,28.36,15,0,0,0
APP-10015,23,165527.13,5,RENT,23000,DEBTCONSOLIDATION,36,12.25,698,32.74,83.87,8,2,0,0
APP-10016,42,74700.97,1,MORTGAGE,29000,HOMEIMPROVEMENT,60,11.96,703,40.85,23.01,9,0,0,0
APP-10017,22,35081.76,3,OWN,33000,PERSONAL,60,11.67,687,9.13,46.92,12,0,0,0
APP-10018,44,55208.07,16,MORTGAGE,30000,HOMEIMPROVEMENT,36,12.14,705,7.42,36.58,9,0,0,0
APP-10019,64,44872.1,12,MORTGAGE,4000,HOMEIMPROVEMENT,36,15.05,652,10.8,37.11,5,1,0,0
APP-10020,50,60046.27,19,RENT,32000,DEBTCONSOLIDATION,36,15.53,682,8.93,40.87,12,1,0,0
APP-10021,58,89446.0,0,RENT,14000,PERSONAL,36,12.9,699,15.08,54.6,11,0,0,0
APP-10022,22,82692.94,16,MORTGAGE,7000,MEDICAL,60,14.06,652,11.37,60.11,13,0,0,0
APP-10023,41,67972.91,14,OWN,22000,DEBTCONSOLIDATION,60,11.57,733,7.69,2.47,9,0,0,0
APP-10024,53,60031.61,4,MORTGAGE,15000,DEBTCONSOLIDATION,36,13.48,691,37.88,83.23,15,0,1,0
APP-10025,32,102676.17,14,RENT,26000,VENTURE,60,13.87,660,11.97,60.82,10,0,0,0
APP-10026,42,22862.9,14,RENT,8000,DEBTCONSOLIDATION,60,16.83,635,20.55,90.49,9,0,0,0
APP-10027,64,41172.82,8,RENT,23000,PERSONAL,60,10.92,727,6.28,40.44,5,0,0,0
APP-10028,45,36705.01,13,RENT,33000,DEBTCONSOLIDATION,60,10.33,695,18.4,33.15,10,5,0,0
APP-10029,69,99025.13,8,MORTGAGE,33000,MEDICAL,60,13.95,644,11.74,41.75,6,2,0,0
APP-10030,47,41375.89,5,RENT,31000,HOMEIMPROVEMENT,60,13.67,671,31.42,15.12,13,0,0,0
APP-10031,62,31477.31,8,RENT,18000,DEBTCONSOLIDATION,36,14.02,668,15.81,60.42,6,0,0,0
